OBJECTID,COUNTYFP,GEOID,CZ,POPe,HHe,CHILDe,CHILDi,CHILDz,CHILDp,CHILDq,SPHWCe,SPHWCi,SPHWCz,SPHWCp,SPHWCq,ELDERHHe,ELDERHHi,ELDERHHz,ELDERHHp,ELDERHHq,ELDERHHPVe,ELDERHHPVi,ELDERHHPVz,ELDERHHPVp,ELDERHHPVq,PTDe,PTDi,PTDz,PTDp,PTDq,HUNOVELe,HUNOVELi,HUNOVELz,HUNOVELp,HUNOVELq,VACHUe,VACHUi,VACHUz,VACHUp,VACHUq,RENTERe,RENTERi,RENTERz,RENTERp,RENTERq,NONWHITEe,NONWHITEi,NONWHITEz,NONWHITEp,NONWHITEq,GQe,GQi,GQz,GQp,GQq,YEAR20e,YEAR20i,YEAR20z,YEAR20p,YEAR20q,MOBILEe,MOBILEi,MOBILEz,MOBILEp,MOBILEq,POPVe,POPVi,POPVz,POPVp,POPVq,NOHSe,NOHSi,NOHSz,NOHSp,NOHSq,UNEMPe,UNEMPi,UNEMPz,UNEMPp,UNEMPq,SPENWe,SPENWi,SPENWz,SPENWp,SPENWq,RENTBURDN30e,RENTBURDN30i,RENTBURDN30z,RENTBURDN30p,RENTBURDN30q,NOINTNETe,NOINTNETi,NOINTNETz,NOINTNETp,NOINTNETq,MEDHVALe,MEDHVALz,MEDHVALp,MEDHVALq,CHILDCAREr,ELDERCAREr,TRANSNEEDr,SHELTNEEDr,CIVICCAPr,SVIr,CHILDCAREp,ELDERCAREp,TRANSNEEDp,SHELTNEEDp,CIVICCAPp,SVIp,CHILDCAREq,ELDERCAREq,TRANSNEEDq,SHELTNEEDq,CIVICCAPq,SVIq,CHILDCAREc,ELDERCAREc,TRANSNEEDc,SHELTNEEDc,CIVICCAPc,SVIc,Shape__Area,Shape__Length
11,48029,48029181715,69,7733,1996,453,5.858,-0.254,0.436,2,547,27.405,1.875,0.953,5,235,11.774,-0.859,0.202,1,28,1.403,-0.407,0.451,3,31,0.75,-0.198,0.652,3,12,0.601,-0.77,0.194,1,70,3.388,-0.81,0.185,1,2733,35.342,0.574,-0.028,3,6145,79.465,0.795,0.711,3,0,0,-0.226,0,1,2049,99.177,1.097,0.958,5,0,0,-0.596,0,1,611,7.901,-0.578,0.344,2,475,9.001,-0.533,0.385,3,152,3.385,-0.455,0.371,2,174,2.39,-0.529,0.404,2,280,49.383,0.412,0.656,4,209,10.471,-0.251,0.489,3,144300,-0.306,0.443,3,0.695,0.327,0.423,0.31,0.412,0.469,0.764,0.29,0.545,0.371,0.376,0.453,4,2,2,2,2,2,4,1,3,2,2,3,2559430.109375,7381.16133667137
12,48029,48029181716,69,9457,2441,651,6.884,0.044,0.565,3,385,15.772,0.45,0.711,4,295,12.085,-0.833,0.209,1,0,0,-0.782,0,1,22,0.402,-0.318,0.591,2,32,1.311,-0.657,0.284,2,133,5.167,-0.62,0.284,2,3064,32.399,0.53,-0.147,3,7636,80.744,0.841,0.723,3,0,0,-0.226,0,1,2517,97.786,1.044,0.914,5,0,0,-0.596,0,1,362,3.863,-0.907,0.171,1,385,6.452,-0.714,0.289,2,98,1.758,-0.825,0.174,1,449,5.099,-0.22,0.595,3,298,38.156,-0.156,0.412,2,170,6.964,-0.553,0.377,2,117000,-0.471,0.336,2,0.638,0.105,0.438,0.278,0.359,0.401,0.697,0.117,0.567,0.326,0.299,0.331,4,1,2,2,2,2,4,1,3,2,2,2,5124577.953125,11735.3221716949
13,48201,48201341002,9,3832,1581,261,6.811,0.023,0.556,3,239,15.117,0.37,0.686,3,316,19.987,-0.167,0.456,4,0,0,-0.782,0,1,9,0.457,-0.299,0.601,2,0,0,-0.865,0,1,51,3.125,-0.838,0.172,1,2066,53.914,0.789,0.722,4,1922,50.157,-0.247,0.434,2,0,0,-0.226,0,1,1486,91.054,0.79,0.743,4,0,0,-0.596,0,1,292,7.62,-0.6,0.333,2,259,9.859,-0.472,0.415,2,117,5.313,-0.017,0.588,3,25,0.7,-0.722,0.197,1,343,39.791,-0.073,0.447,2,72,4.554,-0.76,0.279,2,141700,-0.321,0.434,3,0.621,0.228,0.301,0.343,0.37,0.395,0.673,0.2,0.368,0.419,0.317,0.319,4,2,1,2,2,2,4,2,2,3,2,2,2366988.46484375,7002.80563662778
14,48201,48201310101,9,2720,1431,104,3.824,-0.844,0.182,1,84,5.87,-0.763,0.244,2,51,3.564,-1.552,0.046,1,18,1.258,-0.445,0.427,3,89,4.358,1.042,0.91,4,195,13.627,1.297,0.9,5,243,14.516,0.376,0.742,5,1345,49.981,0.756,0.563,4,1711,62.904,0.206,0.558,2,29,1.066,-0.111,0.795,5,484,28.913,-1.561,0.107,1,0,0,-0.596,0,1,475,17.463,0.202,0.666,4,297,14.383,-0.15,0.551,3,119,5.409,0.005,0.598,3,95,3.631,-0.388,0.512,2,252,28.031,-0.669,0.232,1,14,0.978,-1.068,0.104,1,320600,0.761,0.855,5,0.213,0.237,0.905,0.49,0.441,0.471,0.135,0.209,0.945,0.647,0.421,0.456,1,2,5,3,2,2,1,2,5,4,3,3,2950442.82421875,10491.1554729043
15,48201,48201510301,9,3087,1544,55,1.782,-1.437,0.059,1,0,0,-1.483,0,1,225,14.573,-0.623,0.282,2,0,0,-0.782,0,1,0,0,-0.456,0,1,12,0.777,-0.742,0.215,1,280,15.351,0.465,0.767,5,591,19.434,0.291,-0.67,2,979,31.714,-0.903,0.232,1,46,1.49,-0.066,0.825,5,1375,75.384,0.197,0.462,2,0,0,-0.596,0,1,100,3.288,-0.953,0.143,1,54,2.2,-1.016,0.111,1,0,0,-1.225,0,1,0,0,-0.802,0,1,158,31.537,-0.491,0.292,2,54,3.497,-0.851,0.231,2,452000,1.555,0.946,5,0.03,0.141,0.108,0.251,0.086,0.122,0.02,0.142,0.136,0.291,0.019,0.02,1,2,1,2,1,1,1,1,1,2,1,1,1952246.26171875,7745.32743710601
16,48201,48201311001,9,3042,1083,101,3.32,-0.99,0.137,1,197,18.19,0.746,0.787,4,240,22.161,0.017,0.528,4,47,4.34,0.38,0.769,5,73,5.677,1.495,0.938,5,77,7.11,0.263,0.732,4,75,6.477,-0.481,0.36,2,1495,49.145,0.747,0.529,3,2881,94.707,1.337,0.891,5,0,0,-0.226,0,1,1158,100,1.128,0.975,5,0,0,-0.596,0,1,852,28.008,1.061,0.849,4,1042,52.974,2.594,0.979,5,192,12.991,1.73,0.945,5,978,33.254,2.992,0.981,5,256,48.12,0.348,0.628,3,363,33.518,1.734,0.934,5,89900,-0.635,0.217,2,0.462,0.649,0.835,0.515,0.96,0.741,0.439,0.687,0.901,0.684,0.996,0.881,2,5,4,3,5,5,3,4,5,4,5,5,1138993.78125,6208.26364241411
17,48201,48201233502,9,3456,1067,150,4.34,-0.694,0.236,2,93,8.716,-0.415,0.39,2,139,13.027,-0.754,0.237,2,24,2.249,-0.18,0.572,4,0,0,-0.456,0,1,0,0,-0.865,0,1,86,7.459,-0.376,0.418,3,677,19.589,0.295,-0.663,2,3255,94.184,1.319,0.883,4,0,0,-0.226,0,1,1073,93.062,0.866,0.79,4,91,7.892,0.044,0.715,5,536,15.509,0.042,0.619,3,1044,52.2,2.539,0.979,5,235,14.157,1.995,0.96,5,664,20.085,1.489,0.904,4,0,0,-2.088,0,1,223,20.9,0.648,0.766,5,76600,-0.715,0.15,1,0.313,0.405,0,0.395,0.902,0.421,0.238,0.385,0,0.503,0.977,0.365,1,3,1,3,5,2,2,3,1,3,5,2,1838475.453125,7528.58838300475
18,48201,48201211302,9,2724,1276,159,5.837,-0.26,0.434,2,153,11.991,-0.013,0.557,3,300,23.511,0.131,0.575,4,150,11.755,2.366,0.966,5,59,5.473,1.425,0.935,5,289,22.649,2.728,0.975,5,213,14.305,0.354,0.734,5,1660,60.94,0.838,1.005,4,2686,98.605,1.476,0.966,5,0,0,-0.226,0,1,1378,92.545,0.846,0.777,4,0,0,-0.596,0,1,710,26.287,0.92,0.828,4,470,22.904,0.456,0.726,4,103,8.313,0.666,0.813,4,379,14.776,0.884,0.842,4,452,49.237,0.405,0.652,3,399,31.27,1.541,0.915,5,70900,-0.75,0.129,1,0.496,0.771,0.955,0.616,0.824,0.808,0.49,0.831,0.976,0.822,0.92,0.945,3,5,5,4,5,5,3,5,5,4,5,5,2110087.62109375,8250.42675128298
19,48201,48201454902,9,9243,2721,646,6.989,0.074,0.576,3,329,12.091,-0.001,0.563,3,367,13.488,-0.715,0.25,2,109,4.006,0.291,0.745,4,93,2.097,0.265,0.806,3,135,4.961,-0.078,0.612,3,122,4.291,-0.714,0.236,2,2513,27.188,0.441,-0.357,2,5692,61.582,0.159,0.545,2,0,0,-0.226,0,1,1184,41.646,-1.08,0.159,1,0,0,-0.596,0,1,441,4.771,-0.833,0.208,2,576,9.676,-0.485,0.408,2,172,3.678,-0.389,0.408,2,892,10.376,0.382,0.761,3,421,43.313,0.105,0.529,3,108,3.969,-0.81,0.254,2,248500,0.324,0.754,4,0.57,0.498,0.709,0.113,0.458,0.497,0.6,0.498,0.805,0.135,0.448,0.506,3,4,4,1,2,3,3,4,4,1,3,3,4747346.60546875,9172.78067914362
20,48201,48201100001,9,5090,2560,18,0.354,-1.851,0.025,1,19,0.742,-1.392,0.044,1,227,8.867,-1.104,0.135,2,0,0,-0.782,0,1,199,6.721,1.854,0.953,5,516,20.156,2.333,0.967,5,670,20.743,1.04,0.878,5,3603,97.142,0.971,2.466,5,2535,49.804,-0.259,0.43,2,1381,27.132,2.701,0.98,5,1329,41.146,-1.099,0.157,1,0,0,-0.596,0,1,570,13.636,-0.11,0.561,3,288,6.511,-0.71,0.292,2,138,4.434,-0.216,0.495,2,64,1.262,-0.658,0.28,1,690,27.8,-0.68,0.229,1,166,6.484,-0.594,0.358,2,-1,-1.178,0,1,0.035,0.068,0.96,0.782,0.356,0.468,0.022,0.088,0.979,0.956,0.294,0.451,1,1,5,5,2,2,1,1,5,5,2,3,3433972.41015625,10426.5313588892
21,48201,48201340702,9,3512,1435,103,2.933,-1.103,0.112,1,190,13.24,0.14,0.611,3,370,25.784,0.322,0.643,4,0,0,-0.782,0,1,50,2.596,0.436,0.841,4,8,0.557,-0.777,0.189,1,0,0,-1.171,0,1,764,21.754,0.336,-0.576,2,2234,63.61,0.232,0.565,2,0,0,-0.226,0,1,1404,97.84,1.047,0.916,5,0,0,-0.596,0,1,33,0.94,-1.145,0.042,1,62,2.456,-0.998,0.125,1,67,3.297,-0.475,0.358,2,87,2.552,-0.511,0.418,2,127,26.186,-0.762,0.207,1,33,2.3,-0.954,0.167,1,191700,-0.019,0.626,4,0.362,0.322,0.515,0.135,0.267,0.314,0.301,0.286,0.659,0.155,0.169,0.185,2,2,3,1,1,1,2,2,3,2,1,1,1716226.37890625,5254.31910849366
22,48201,48201433004,9,2896,847,179,6.181,-0.16,0.475,3,205,24.203,1.483,0.915,5,25,2.952,-1.603,0.04,1,0,0,-0.782,0,1,165,10.436,3.131,0.982,5,102,12.043,1.046,0.87,5,219,20.544,1.018,0.874,5,2751,100,0.982,2.581,5,2736,94.475,1.329,0.887,4,145,5.007,0.314,0.935,5,829,77.767,0.287,0.498,3,0,0,-0.596,0,1,928,33.733,1.527,0.916,5,791,48.587,2.282,0.966,5,82,4.931,-0.104,0.546,3,1499,55.171,5.492,0.999,5,510,60.213,0.961,0.851,4,271,31.995,1.603,0.92,5,-1,-1.178,0,1,0.695,0.02,0.926,0.956,0.858,0.741,0.764,0.034,0.958,0.997,0.95,0.881,4,1,5,5,5,5,4,1,5,5,5,5,673302.81640625,3531.16228277375
23,48201,48201340501,9,3742,1695,303,8.097,0.396,0.694,4,263,15.516,0.419,0.701,4,327,19.292,-0.225,0.434,3,18,1.062,-0.498,0.393,3,45,2.435,0.381,0.828,4,165,9.735,0.679,0.821,4,184,9.792,-0.127,0.54,3,1733,46.312,0.717,0.415,3,1436,38.375,-0.666,0.307,1,0,0,-0.226,0,1,1850,98.457,1.07,0.935,5,0,0,-0.596,0,1,599,16.007,0.083,0.631,3,257,10.46,-0.429,0.435,3,61,3.103,-0.519,0.335,2,102,2.966,-0.464,0.458,2,328,40.147,-0.055,0.454,2,62,3.658,-0.837,0.239,2,190600,-0.026,0.623,4,0.698,0.414,0.825,0.404,0.367,0.577,0.766,0.396,0.895,0.517,0.311,0.636,4,3,4,3,2,3,4,3,5,3,2,4,2725447.71875,7059.31723252652
24,48201,48201341303,9,2979,1679,202,6.781,0.014,0.552,3,82,4.884,-0.884,0.197,1,314,18.702,-0.275,0.415,3,23,1.37,-0.415,0.446,3,40,2.452,0.387,0.83,4,139,8.279,0.448,0.776,4,352,17.331,0.676,0.816,5,1267,42.531,0.672,0.262,3,1145,38.436,-0.664,0.308,1,0,0,-0.226,0,1,1921,94.584,0.923,0.825,4,0,0,-0.596,0,1,321,10.775,-0.343,0.46,3,289,12.856,-0.259,0.509,3,137,6.919,0.349,0.728,4,170,6.122,-0.104,0.643,3,317,41.656,0.021,0.489,2,27,1.608,-1.014,0.134,1,140800,-0.327,0.43,3,0.375,0.431,0.803,0.382,0.504,0.522,0.318,0.417,0.878,0.479,0.519,0.549,2,3,4,3,3,3,2,3,5,3,3,3,1553311.640625,5187.13263167306
25,48201,48201252306,9,8534,1993,498,5.835,-0.26,0.434,2,228,11.44,-0.081,0.531,3,75,3.763,-1.535,0.049,1,0,0,-0.782,0,1,0,0,-0.456,0,1,106,5.319,-0.021,0.631,3,216,9.778,-0.129,0.539,3,1126,13.194,0.171,-0.921,1,7984,93.555,1.296,0.875,4,0,0,-0.226,0,1,618,27.976,-1.597,0.103,1,39,1.766,-0.453,0.568,4,3344,39.184,1.971,0.953,5,1435,36.486,1.421,0.889,5,250,7.129,0.396,0.742,4,2097,26.095,2.175,0.952,5,266,69.271,1.419,0.936,5,147,7.376,-0.517,0.392,3,164100,-0.186,0.53,3,0.483,0.025,0.316,0.302,0.744,0.42,0.47,0.041,0.39,0.359,0.839,0.364,2,1,2,2,4,2,3,1,2,2,5,2,7117425.35546875,11095.8438014877
26,48201,48201532301,9,5358,1956,223,4.162,-0.746,0.215,1,618,31.595,2.389,0.976,5,27,1.38,-1.736,0.024,1,0,0,-0.782,0,1,415,13.714,4.258,0.992,5,248,12.679,1.147,0.883,5,38,1.906,-0.968,0.121,1,5150,96.118,0.968,2.424,5,5145,96.025,1.384,0.912,5,0,0,-0.226,0,1,1286,64.493,-0.215,0.321,2,0,0,-0.596,0,1,240,4.595,-0.847,0.201,1,384,11.559,-0.351,0.472,3,99,3.141,-0.511,0.34,2,542,10.555,0.402,0.765,3,683,36.72,-0.229,0.386,2,168,8.589,-0.413,0.433,3,230000,0.213,0.714,4,0.596,0.012,0.938,0.568,0.503,0.581,0.639,0.022,0.966,0.762,0.517,0.644,3,1,5,4,3,3,4,1,5,4,3,4,3128621.12890625,7492.81504148109
27,48201,48201432005,9,3722,1450,508,13.649,2.007,0.966,5,167,11.517,-0.071,0.533,3,51,3.517,-1.556,0.046,1,26,1.793,-0.302,0.508,3,106,5.263,1.353,0.931,5,72,4.966,-0.077,0.613,3,364,20.066,0.968,0.867,5,3614,97.098,0.971,2.464,5,3396,91.241,1.214,0.839,4,0,0,-0.226,0,1,1791,98.732,1.08,0.943,5,0,0,-0.596,0,1,840,22.569,0.617,0.776,4,846,34.587,1.286,0.874,4,169,7.664,0.518,0.773,4,1079,33.572,3.028,0.982,5,669,49.011,0.394,0.647,3,87,6,-0.636,0.337,2,133500,-0.371,0.405,2,0.75,0.277,0.772,0.841,0.742,0.748,0.825,0.243,0.856,0.979,0.836,0.888,4,2,4,5,4,5,5,2,4,5,4,5,473019.6640625,2774.49386683259
28,48201,48201554701,9,2973,1183,150,5.045,-0.49,0.325,2,97,8.199,-0.478,0.362,2,398,33.643,0.985,0.846,5,35,2.959,0.01,0.652,4,0,0,-0.456,0,1,18,1.522,-0.624,0.305,2,65,5.208,-0.616,0.287,2,1391,46.788,0.723,0.434,3,1576,53.01,-0.145,0.464,2,0,0,-0.226,0,1,671,53.766,-0.621,0.232,2,0,0,-0.596,0,1,287,9.654,-0.435,0.418,2,137,6.65,-0.7,0.298,2,86,5.392,0.001,0.596,3,8,0.283,-0.77,0.128,1,222,29.64,-0.587,0.255,1,10,0.845,-1.079,0.1,1,217900,0.139,0.688,4,0.344,0.749,0.153,0.262,0.281,0.354,0.28,0.806,0.191,0.303,0.19,0.246,2,5,1,2,1,1,2,5,1,2,1,2,1998669.859375,6596.90542322527
29,48201,48201554202,9,3742,1293,147,3.928,-0.814,0.193,1,62,4.795,-0.895,0.193,1,153,11.833,-0.854,0.203,2,15,1.16,-0.472,0.41,3,13,0.751,-0.198,0.653,2,30,2.32,-0.497,0.397,2,0,0,-1.171,0,1,1719,45.938,0.712,0.4,3,1554,41.529,-0.554,0.347,1,0,0,-0.226,0,1,541,41.841,-1.072,0.16,1,0,0,-0.596,0,1,744,19.882,0.399,0.724,4,182,7.948,-0.608,0.347,2,68,3.69,-0.386,0.409,2,551,15.327,0.947,0.85,4,232,33.143,-0.41,0.318,2,0,0,-1.152,0,1,168000,-0.162,0.546,3,0.193,0.307,0.525,0.233,0.402,0.336,0.117,0.271,0.666,0.266,0.362,0.217,1,2,3,2,2,1,1,2,3,2,2,2,5742585.3671875,16392.2162273882
